,target
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,1
32,0
33,1
34,0
35,0
36,0
37,1
38,1
39,0
41,0
42,0
43,0
44,0
45,0
46,1
47,0
48,0
49,0
50,1
51,1
52,0
53,1
54,0
55,1
56,1
57,0
58,0
59,1
60,0
61,0
62,0
63,1
64,0
65,1
66,0
67,0
68,1
69,1
70,0
71,0
72,1
73,1
74,1
75,0
76,0
77,1
78,1
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,0
97,1
98,0
99,1
100,1
101,0
102,0
103,0
104,0
105,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,1
137,1
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,1
148,1
149,0
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,1
184,0
185,0
186,0
187,1
188,0
189,0
190,1
191,1
192,0
193,0
194,0
195,1
196,1
197,1
198,0
199,0
200,0
201,1
202,1
203,1
204,1
205,0
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,0
214,1
215,0
216,0
217,0
218,1
219,0
220,1
221,0
222,0
223,0
224,1
225,1
226,0
227,1
228,0
229,1
230,1
231,0
232,0
233,0
234,1
235,0
236,0
237,0
238,1
239,1
240,0
241,0
242,0
243,1
244,0
245,0
246,0
247,1
248,0
249,1
250,0
251,1
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,0
261,0
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,0
276,0
277,1
278,0
279,0
280,0
281,1
282,0
283,0
284,0
285,1
286,0
287,0
288,0
289,0
290,1
291,0
292,0
293,0
294,1
295,0
296,0
297,0
298,0
299,1
300,1
301,1
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,0
321,1
322,0
323,0
324,0
325,1
326,0
327,0
328,0
329,0
330,0
331,1
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,1
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,1
355,0
356,1
357,0
358,1
359,0
360,0
361,1
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,1
376,0
377,0
378,0
379,0
380,0
381,1
382,1
383,0
384,1
385,1
386,1
387,1
388,0
389,0
390,0
391,1
392,1
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,0
401,0
402,1
403,1
404,0
405,0
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,0
421,0
422,0
423,0
424,1
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,1
435,0
436,0
437,1
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,1
446,1
447,0
448,1
449,1
450,0
451,1
452,1
453,0
454,1
455,1
456,1
457,1
458,1
459,1
460,1
461,1
462,1
463,0
464,0
465,0
466,1
467,1
468,1
469,0
470,1
471,1
472,1
473,1
474,1
475,1
476,0
477,0
478,1
479,0
480,1
481,0
482,0
483,1
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,0
497,0
498,0
499,1
500,1
501,0
502,1
503,0
504,1
505,1
506,1
507,0
508,1
509,0
510,1
511,1
512,1
513,1
514,1
515,0
516,1
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,1
534,0
535,1
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,0
550,0
551,0
552,1
553,0
554,0
555,0
556,1
557,0
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,1
574,0
575,0
576,1
577,1
578,0
579,1
580,1
581,1
582,0
583,0
584,0
585,1
586,1
587,1
588,1
589,0
590,1
591,0
592,1
593,1
594,0
595,0
596,1
597,0
598,1
599,1
600,0
601,1
602,1
603,1
604,1
605,0
606,0
607,1
608,1
609,0
611,1
612,1
613,0
614,1
615,1
616,1
617,1
618,0
619,0
620,1
621,1
622,1
623,1
624,0
625,1
626,1
627,0
628,1
629,0
631,0
632,1
633,1
635,1
636,0
637,1
638,1
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,1
648,0
649,1
650,0
651,0
652,0
653,1
654,1
655,0
656,0
657,0
658,0
659,0
660,0
661,0
662,0
663,0
664,0
665,0
666,0
667,0
668,0
669,1
670,0
671,0
672,0
673,0
674,0
675,0
676,0
677,0
678,0
679,0
680,1
681,0
682,0
683,0
684,0
685,0
686,0
687,0
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,0
722,0
723,0
724,0
725,0
726,0
727,0
728,1
729,0
730,0
731,0
732,0
733,1
734,0
735,1
736,0
737,0
738,0
739,0
740,0
741,0
742,0
743,0
744,1
745,0
746,0
747,0
748,0
749,0
750,0
751,0
752,0
753,1
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,1
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,1
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,1
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,1
